Distributor Name,Location,Vertical,Annual Sales Range,ARR Band,# of Products,Starting MRR,Ending MRR,MRR Growth,% MRR Growth,Starting ARR,Ending ARR,Segment
Novak Foods,"Port Tammy, MT, US",Jan-San,$50mm - $100mm,$50 - $75k,2,"$5,297","$5,297",$0,0.0,"$63,564",63564,Standard Accounts
Brown Logistics,"Davidport, OR, US",Jan-San,$25mm - $50mm,$25k - $50k,2,"$2,254","$2,254",$0,0.0,"$27,048",27048,Standard Accounts
Baker Enterprises,"Meganshire, UT, US",Seafood,$25mm - $50mm,$75k - $100k,1,"$8,219","$8,219",$0,0.0,"$98,628",98628,Standard Accounts
Moore Enterprises,"South Robert, TX, US",Jan-San,$50mm - $100mm,$100k - $250k,2,"$11,104","$11,104",$0,0.0,"$133,248",133248,Key Accounts
Adkins Enterprises,"Johnville, WI, US",Produce,$500mm - $1bn,$25k - $50k,1,"$3,398","$3,398",$0,0.0,"$40,776",40776,Standard Accounts
Brown Supply Co.,"Shannonberg, MA, US",Broadline,$25mm - $50mm,$10k - $25k,1,"$1,836","$1,836",$0,0.0,"$22,032",22032,Standard Accounts
Silva Enterprises,"North Kellyfurt, NY, US",Broadline,$50mm - $100mm,$25k - $50k,3,"$2,528","$2,528",$0,0.0,"$30,336",30336,Standard Accounts
Shaw Enterprises,"Wrightburgh, ID, US",Specialty,$10mm - $25mm,$50 - $75k,1,"$5,503","$5,503",$0,0.0,"$66,036",66036,Standard Accounts
Miller Foods,"Johnsonfurt, BC, Canada",C-Store,$250mm - $500mm,$250k+,2,"$23,366","$23,366",$0,0.0,"$280,392",280392,Key Accounts
Larson Supply Co.,"Brandonport, AK, US",Jan-San,$10mm - $25mm,$50 - $75k,1,"$5,223","$5,223",$0,0.0,"$62,676",62676,Standard Accounts
Zamora Distribution,"Kathrynstad, NE, US",Produce,$100mm - $250mm,$100k - $250k,1,"$11,219","$11,219",$0,0.0,"$134,628",134628,Key Accounts
Harvey Distribution,"South Williamside, SC, US",Broadline,$10mm - $25mm,$25k - $50k,2,"$3,254","$3,254",$0,0.0,"$39,048",39048,Standard Accounts
Mills Supply Co.,"Angelastad, CT, US",Specialty,$100mm - $250mm,$75k - $100k,2,"$8,313","$8,313",$0,0.0,"$99,756",99756,Standard Accounts
Foster Logistics,"West Sarah, HI, US",Specialty,< $10mm,$10k - $25k,1,"$1,915","$1,915",$0,0.0,"$22,980",22980,Standard Accounts
Evans Foods,"Williamhaven, NC, US",Coffee,$50mm - $100mm,$100k - $250k,2,"$9,981","$9,981",$0,0.0,"$119,772",119772,Key Accounts
Ellis Distribution,"Lauratown, GA, US",Produce,< $10mm,$10k - $25k,1,"$1,119","$1,119",$0,0.0,"$13,428",13428,Standard Accounts
Mahoney Enterprises,"North Scott, WI, US",Broadline,$25mm - $50mm,$25k - $50k,3,"$3,951","$3,951",$0,0.0,"$47,412",47412,Standard Accounts
Moore Foods,"Whitneyfort, SD, US",Seafood,$25mm - $50mm,$75k - $100k,1,"$7,341","$7,341",$0,0.0,"$88,092",88092,Standard Accounts
Carr Enterprises,"Ericaview, LA, US",C-Store,$10mm - $25mm,$50 - $75k,2,"$4,339","$4,339",$0,0.0,"$52,068",52068,Standard Accounts
Archer Supply Co.,"Leebury, MN, US",C-Store,$25mm - $50mm,$75k - $100k,2,"$7,648","$7,648",$0,0.0,"$91,776",91776,Standard Accounts
Evans Distribution,"Keithshire, CO, US",C-Store,$100mm - $250mm,$25k - $50k,1,"$3,589","$3,589",$0,0.0,"$43,068",43068,Standard Accounts
Nelson Foods,"North Christina, NC, US",C-Store,< $10mm,$25k - $50k,1,"$2,373","$2,373",$0,0.0,"$28,476",28476,Standard Accounts
Mathis Distribution,"Lake Audreyside, MS, US",Meat,< $10mm,< $10k,1,$713,$713,$0,0.0,"$8,556",8556,Standard Accounts
Arnold Enterprises,"Franciscomouth, SK, Canada",Seafood,$10mm - $25mm,$25k - $50k,1,"$2,843","$2,843",$0,0.0,"$34,116",34116,Standard Accounts
Smith Logistics,"Krystalshire, TX, US",Broadline,< $10mm,$25k - $50k,1,"$3,746","$3,746",$0,0.0,"$44,952",44952,Standard Accounts
Jones Distribution,"East Cheryl, MN, US",Jan-San,$50mm - $100mm,$100k - $250k,1,"$10,925","$10,925",$0,0.0,"$131,100",131100,Key Accounts
Anderson Logistics,"West Desireebury, WV, US",Specialty,$100mm - $250mm,$100k - $250k,1,"$11,582","$11,582",$0,0.0,"$138,984",138984,Key Accounts
Nolan Logistics,"South Gina, TX, US",Produce,$100mm - $250mm,$100k - $250k,1,"$17,447","$17,447",$0,0.0,"$209,364",209364,Key Accounts
Keith Logistics,"South Jonathantown, AZ, US",Broadline,$10mm - $25mm,$50 - $75k,2,"$4,326","$4,326",$0,0.0,"$51,912",51912,Standard Accounts
Doyle Foods,"Cooperland, NH, US",C-Store,$10mm - $25mm,$25k - $50k,2,"$3,316","$3,316",$0,0.0,"$39,792",39792,Standard Accounts
Shields Supply Co.,"Kanefurt, NM, US",Broadline,$25mm - $50mm,$10k - $25k,2,"$1,741","$1,741",$0,0.0,"$20,892",20892,Standard Accounts
Adams Supply Co.,"Lake Michelle, OR, US",C-Store,$50mm - $100mm,$25k - $50k,2,"$3,376","$3,376",$0,0.0,"$40,512",40512,Standard Accounts
Walker Distribution,"Patelbury, SK, Canada",Coffee,$10mm - $25mm,$50 - $75k,3,"$5,042","$5,042",$0,0.0,"$60,504",60504,Standard Accounts
Velasquez Enterprises,"South Michael, KY, US",C-Store,$50mm - $100mm,$75k - $100k,2,"$8,124","$8,124",$0,0.0,"$97,488",97488,Standard Accounts
Johnson Foods,"Lake Bradley, HI, US",Broadline,$100mm - $250mm,$50 - $75k,2,"$6,239","$6,239",$0,0.0,"$74,868",74868,Standard Accounts
White Distribution,"Meredithberg, FL, US",Jan-San,$100mm - $250mm,$100k - $250k,1,"$9,498","$9,498",$0,0.0,"$113,976",113976,Key Accounts
Estes Supply Co.,"Melendezside, NM, US",Broadline,$250mm - $500mm,$100k - $250k,2,"$20,635","$20,635",$0,0.0,"$247,620",247620,Key Accounts
Edwards Supply Co.,"North Joseph, NV, US",Jan-San,$10mm - $25mm,$10k - $25k,1,"$1,449","$1,449",$0,0.0,"$17,388",17388,Standard Accounts
Obrien Foods,"Port Charlesshire, ME, US",Meat,$50mm - $100mm,$75k - $100k,2,"$7,262","$7,262",$0,0.0,"$87,144",87144,Standard Accounts
Scott Foods,"Lake Yvonnefort, DE, US",Specialty,$50mm - $100mm,$25k - $50k,1,"$3,901","$3,901",$0,0.0,"$46,812",46812,Standard Accounts
Fletcher Foods,"Lake Cassandra, PE, Canada",Ice Cream,$250mm - $500mm,$25k - $50k,1,"$3,200","$3,200",$0,0.0,"$38,400",38400,Standard Accounts
Smith Supply Co.,"South Rose, AK, US",Broadline,$10mm - $25mm,< $10k,1,$814,$814,$0,0.0,"$9,768",9768,Standard Accounts
Martinez Enterprises,"North Jasmine, FL, US",Produce,$100mm - $250mm,$100k - $250k,1,"$15,388","$15,388",$0,0.0,"$184,656",184656,Key Accounts
Smith Distribution,"East James, IL, US",Produce,$10mm - $25mm,$50 - $75k,3,"$4,245","$4,245",$0,0.0,"$50,940",50940,Standard Accounts
Jordan Supply Co.,"Millerfurt, NS, Canada",Coffee,$25mm - $50mm,$25k - $50k,3,"$3,420","$3,420",$0,0.0,"$41,040",41040,Standard Accounts
Carpenter Logistics,"Cunninghambury, QC, Canada",Produce,$10mm - $25mm,$50 - $75k,3,"$4,279","$4,279",$0,0.0,"$51,348",51348,Standard Accounts
Robertson Supply Co.,"East Sarahmouth, ID, US",Broadline,$100mm - $250mm,$25k - $50k,4,"$2,802","$2,802",$0,0.0,"$33,624",33624,Standard Accounts
Potter Distribution,"Patrickberg, CO, US",Specialty,< $10mm,$25k - $50k,1,"$3,794","$3,794",$0,0.0,"$45,528",45528,Standard Accounts
Sanchez Distribution,"Henrystad, VA, US",Produce,< $10mm,$25k - $50k,1,"$2,497","$2,497",$0,0.0,"$29,964",29964,Standard Accounts
Carrillo Supply Co.,"Maxwellside, MO, US",Broadline,$100mm - $250mm,$10k - $25k,2,"$1,925","$1,925",$0,0.0,"$23,100",23100,Standard Accounts
Wright Foods,"Wheelerborough, LA, US",Broadline,$10mm - $25mm,$50 - $75k,1,"$4,429","$4,429",$0,0.0,"$53,148",53148,Standard Accounts
Charles Supply Co.,"Rodriguezport, DE, US",C-Store,$50mm - $100mm,$100k - $250k,2,"$9,585","$9,585",$0,0.0,"$115,020",115020,Key Accounts
Dodson Logistics,"Faulknerbury, NL, Canada",Produce,$25mm - $50mm,$75k - $100k,4,"$6,695","$6,695",$0,0.0,"$80,340",80340,Standard Accounts
Sims Logistics,"Rasmussenmouth, OR, US",Broadline,$10mm - $25mm,$50 - $75k,2,"$5,701","$5,701",$0,0.0,"$68,412",68412,Standard Accounts
Mitchell Supply Co.,"South Neil, MT, US",Jan-San,$50mm - $100mm,$10k - $25k,1,"$1,262","$1,262",$0,0.0,"$15,144",15144,Standard Accounts
Fisher Supply Co.,"Sotoburgh, VA, US",Seafood,$10mm - $25mm,$50 - $75k,3,"$6,093","$6,093",$0,0.0,"$73,116",73116,Standard Accounts
Stein Logistics,"Fosterborough, ND, US",Bakery,$50mm - $100mm,$100k - $250k,3,"$11,355","$11,355",$0,0.0,"$136,260",136260,Key Accounts
Silva Distribution,"Vargasfurt, BC, Canada",Broadline,$100mm - $250mm,$100k - $250k,4,"$14,448","$14,448",$0,0.0,"$173,376",173376,Key Accounts
Anderson Enterprises,"Port Stephen, GA, US",Bakery,$100mm - $250mm,$25k - $50k,2,"$3,218","$3,218",$0,0.0,"$38,616",38616,Standard Accounts
Williams Supply Co.,"Michellechester, MO, US",Specialty,$25mm - $50mm,$50 - $75k,3,"$4,895","$4,895",$0,0.0,"$58,740",58740,Standard Accounts
Lewis Distribution,"Port Jamie, HI, US",Jan-San,$100mm - $250mm,$100k - $250k,1,"$16,306","$16,306",$0,0.0,"$195,672",195672,Key Accounts
Decker Enterprises,"West Michelleberg, MD, US",Broadline,< $10mm,$25k - $50k,3,"$3,976","$3,976",$0,0.0,"$47,712",47712,Standard Accounts
Webster Distribution,"Summersfort, WI, US",Meat,$10mm - $25mm,$50 - $75k,1,"$6,193","$6,193",$0,0.0,"$74,316",74316,Standard Accounts
Oconnell Logistics,"Bensonfort, NM, US",Jan-San,< $10mm,$25k - $50k,3,"$2,084","$2,084",$0,0.0,"$25,008",25008,Standard Accounts
Collins Supply Co.,"South Kiara, SC, US",Jan-San,$500mm - $1bn,$250k+,3,"$31,588","$31,588",$0,0.0,"$379,056",379056,Key Accounts
Jones Logistics,"Jensenmouth, OR, US",C-Store,$50mm - $100mm,$100k - $250k,2,"$8,968","$8,968",$0,0.0,"$107,616",107616,Key Accounts
Barton Enterprises,"Kyliebury, WA, US",Seafood,$250mm - $500mm,$100k - $250k,2,"$17,970","$17,970",$0,0.0,"$215,640",215640,Key Accounts
Patterson Supply Co.,"Littleland, WY, US",C-Store,$10mm - $25mm,$75k - $100k,1,"$6,799","$6,799",$0,0.0,"$81,588",81588,Standard Accounts
Atkinson Distribution,"Bestland, AK, US",Produce,$100mm - $250mm,$100k - $250k,1,"$10,152","$10,152",$0,0.0,"$121,824",121824,Key Accounts
Short Supply Co.,"New Carlosview, NE, US",Jan-San,$25mm - $50mm,$50 - $75k,2,"$4,569","$4,569",$0,0.0,"$54,828",54828,Standard Accounts
Yu Supply Co.,"Hunterhaven, NC, US",Meat,< $10mm,$10k - $25k,2,$856,$856,$0,0.0,"$10,272",10272,Standard Accounts
Graham Distribution,"Port Eric, MA, US",C-Store,< $10mm,$10k - $25k,2,"$1,627","$1,627",$0,0.0,"$19,524",19524,Standard Accounts
Gross Distribution,"Peterland, PE, Canada",Produce,$50mm - $100mm,$50 - $75k,3,"$5,749","$5,749",$0,0.0,"$68,988",68988,Standard Accounts
Sheppard Enterprises,"Hollybury, MA, US",Jan-San,$100mm - $250mm,$100k - $250k,4,"$11,650","$11,650",$0,0.0,"$139,800",139800,Key Accounts
Nelson Distribution,"East Christopherchester, PE, Canada",Coffee,$10mm - $25mm,$25k - $50k,3,"$2,622","$2,622",$0,0.0,"$31,464",31464,Standard Accounts
Christian Enterprises,"West Lindsayview, MD, US",Bakery,$10mm - $25mm,$10k - $25k,3,"$1,819","$1,819",$0,0.0,"$21,828",21828,Standard Accounts
Rivas Enterprises,"West Jennifershire, MD, US",Meat,$25mm - $50mm,$50 - $75k,1,"$5,210","$5,210",$0,0.0,"$62,520",62520,Standard Accounts
Gray Foods,"South Michaelberg, OH, US",Broadline,$25mm - $50mm,$75k - $100k,1,"$7,175","$7,175",$0,0.0,"$86,100",86100,Standard Accounts
Haynes Enterprises,"Kiaraport, NL, Canada",Jan-San,$10mm - $25mm,$50 - $75k,1,"$6,210","$6,210",$0,0.0,"$74,520",74520,Standard Accounts
Cortez Enterprises,"Lake Rachel, NB, Canada",Broadline,$10mm - $25mm,$10k - $25k,2,"$1,250","$1,250",$0,0.0,"$15,000",15000,Standard Accounts
Brewer Enterprises,"Aaronfurt, FL, US",Meat,$25mm - $50mm,$100k - $250k,1,"$8,417","$8,417",$0,0.0,"$101,004",101004,Key Accounts
Henry Foods,"Daltonhaven, OK, US",Broadline,< $10mm,$25k - $50k,3,"$2,743","$2,743",$0,0.0,"$32,916",32916,Standard Accounts
Reese Enterprises,"Louisview, MB, Canada",Broadline,$1bn+,$50 - $75k,2,"$5,940","$5,940",$0,0.0,"$71,280",71280,Standard Accounts
King Foods,"Edwardsville, ID, US",Broadline,$25mm - $50mm,$25k - $50k,2,"$4,142","$4,142",$0,0.0,"$49,704",49704,Standard Accounts
White Supply Co.,"Davidmouth, ON, Canada",Seafood,$10mm - $25mm,$25k - $50k,3,"$3,039","$3,039",$0,0.0,"$36,468",36468,Standard Accounts
Oneill Foods,"North Joshuaberg, MI, US",Broadline,< $10mm,$25k - $50k,2,"$3,044","$3,044",$0,0.0,"$36,528",36528,Standard Accounts
Henry Foods,"Gonzalezhaven, WA, US",Ice Cream,$50mm - $100mm,$25k - $50k,1,"$2,141","$2,141",$0,0.0,"$25,692",25692,Standard Accounts
Lopez Logistics,"Paulburgh, UT, US",Broadline,< $10mm,$10k - $25k,2,"$1,477","$1,477",$0,0.0,"$17,724",17724,Standard Accounts
Short Enterprises,"North John, IA, US",Meat,< $10mm,$25k - $50k,1,"$3,125","$3,125",$0,0.0,"$37,500",37500,Standard Accounts
Morales Foods,"West Amanda, FL, US",Broadline,$250mm - $500mm,$100k - $250k,1,"$13,727","$13,727",$0,0.0,"$164,724",164724,Key Accounts
Jones Logistics,"Port Wendybury, NJ, US",Produce,$25mm - $50mm,$75k - $100k,1,"$7,468","$7,468",$0,0.0,"$89,616",89616,Standard Accounts
Duran Foods,"New Jeffery, ND, US",Broadline,$1bn+,$250k+,2,"$46,542","$46,542",$0,0.0,"$558,504",558504,Key Accounts
Gibbs Supply Co.,"West Jennifer, BC, Canada",Broadline,$10mm - $25mm,$25k - $50k,3,"$3,523","$3,523",$0,0.0,"$42,276",42276,Standard Accounts
Meza Distribution,"Rosalesshire, NJ, US",Produce,$10mm - $25mm,$50 - $75k,1,"$4,174","$4,174",$0,0.0,"$50,088",50088,Standard Accounts
Clark Foods,"East Carriebury, MD, US",Specialty,< $10mm,$10k - $25k,3,"$1,853","$1,853",$0,0.0,"$22,236",22236,Standard Accounts
Moore Foods,"Lake Nicole, PA, US",Broadline,$500mm - $1bn,$100k - $250k,1,"$19,517","$19,517",$0,0.0,"$234,204",234204,Key Accounts
Smith Supply Co.,"Lake Carlos, AR, US",Specialty,< $10mm,< $10k,2,$767,$767,$0,0.0,"$9,204",9204,Standard Accounts
Weber Enterprises,"South Sherriburgh, MN, US",Jan-San,< $10mm,$10k - $25k,1,"$1,159","$1,159",$0,0.0,"$13,908",13908,Standard Accounts
Holland Distribution,"North Brandon, PE, Canada",Seafood,$500mm - $1bn,$100k - $250k,2,"$15,020","$15,020",$0,0.0,"$180,240",180240,Key Accounts
Kerr Logistics,"Hernandezstad, OH, US",Broadline,$25mm - $50mm,$25k - $50k,2,"$3,022","$3,022",$0,0.0,"$36,264",36264,Standard Accounts
Roberts Logistics,"Nicolestad, AK, US",Broadline,$50mm - $100mm,$50 - $75k,1,"$5,749","$5,749",$0,0.0,"$68,988",68988,Standard Accounts
Sampson Distribution,"Luisland, MD, US",Jan-San,$50mm - $100mm,$50 - $75k,1,"$4,670","$4,670",$0,0.0,"$56,040",56040,Standard Accounts
Williams Supply Co.,"Rodriguezberg, AR, US",Broadline,$100mm - $250mm,$100k - $250k,1,"$12,138","$12,138",$0,0.0,"$145,656",145656,Key Accounts
Pearson Logistics,"Mikaylastad, NE, US",C-Store,$50mm - $100mm,$50 - $75k,4,"$4,725","$4,725",$0,0.0,"$56,700",56700,Standard Accounts
White Logistics,"Johnsonview, OH, US",Seafood,$25mm - $50mm,$10k - $25k,2,"$1,820","$1,820",$0,0.0,"$21,840",21840,Standard Accounts
Davis Foods,"Pennytown, QC, Canada",C-Store,$10mm - $25mm,$50 - $75k,2,"$4,550","$4,550",$0,0.0,"$54,600",54600,Standard Accounts
Bailey Distribution,"Lisaport, NE, US",Meat,$10mm - $25mm,$10k - $25k,2,"$1,391","$1,391",$0,0.0,"$16,692",16692,Standard Accounts
Rivera Distribution,"Jessicaland, NH, US",C-Store,$100mm - $250mm,$100k - $250k,2,"$12,137","$12,137",$0,0.0,"$145,644",145644,Key Accounts
Gibson Supply Co.,"East Jamesborough, WI, US",Ice Cream,$50mm - $100mm,$25k - $50k,1,"$2,510","$2,510",$0,0.0,"$30,120",30120,Standard Accounts
Avila Logistics,"Palmertown, NJ, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$3,952","$3,952",$0,0.0,"$47,424",47424,Standard Accounts
Garrett Supply Co.,"Buckburgh, MN, US",Produce,$100mm - $250mm,$100k - $250k,2,"$11,454","$11,454",$0,0.0,"$137,448",137448,Key Accounts
Dunn Supply Co.,"Stephenborough, WA, US",Broadline,< $10mm,$10k - $25k,2,"$1,708","$1,708",$0,0.0,"$20,496",20496,Standard Accounts
Dudley Distribution,"West Vanessamouth, AK, US",C-Store,$10mm - $25mm,$25k - $50k,1,"$3,014","$3,014",$0,0.0,"$36,168",36168,Standard Accounts
Gay Enterprises,"Doyleshire, NS, Canada",Broadline,$50mm - $100mm,$25k - $50k,3,"$2,188","$2,188",$0,0.0,"$26,256",26256,Standard Accounts
Hicks Distribution,"Lake Rachel, AB, Canada",Produce,$50mm - $100mm,$50 - $75k,3,"$6,017","$6,017",$0,0.0,"$72,204",72204,Standard Accounts
Baird Supply Co.,"Jorgeport, NE, US",Jan-San,$50mm - $100mm,$100k - $250k,2,"$8,761","$8,761",$0,0.0,"$105,132",105132,Key Accounts
Reyes Foods,"South Pamelahaven, IN, US",Specialty,$25mm - $50mm,$50 - $75k,4,"$5,036","$5,036",$0,0.0,"$60,432",60432,Standard Accounts
Weeks Logistics,"Port Erinhaven, MS, US",Broadline,< $10mm,$25k - $50k,1,"$2,580","$2,580",$0,0.0,"$30,960",30960,Standard Accounts
Romero Enterprises,"East Christinachester, VT, US",C-Store,< $10mm,$10k - $25k,1,"$1,531","$1,531",$0,0.0,"$18,372",18372,Standard Accounts
Burns Enterprises,"East Heather, MT, US",Produce,$10mm - $25mm,$10k - $25k,1,"$1,177","$1,177",$0,0.0,"$14,124",14124,Standard Accounts
Lopez Foods,"Smithbury, AR, US",Broadline,$10mm - $25mm,$75k - $100k,1,"$6,947","$6,947",$0,0.0,"$83,364",83364,Standard Accounts
Williams Foods,"North Hannahchester, AB, Canada",Produce,$100mm - $250mm,$100k - $250k,3,"$12,515","$12,515",$0,0.0,"$150,180",150180,Key Accounts
Pollard Foods,"West Danielville, NS, Canada",Seafood,$50mm - $100mm,$100k - $250k,1,"$9,654","$9,654",$0,0.0,"$115,848",115848,Key Accounts
Lawrence Logistics,"North Amy, NL, Canada",C-Store,$100mm - $250mm,$100k - $250k,3,"$10,440","$10,440",$0,0.0,"$125,280",125280,Key Accounts
Moore Enterprises,"Michaelmouth, CA, US",Produce,$10mm - $25mm,$75k - $100k,1,"$6,364","$6,364",$0,0.0,"$76,368",76368,Standard Accounts
Schwartz Foods,"Natalieland, SD, US",Jan-San,$25mm - $50mm,$10k - $25k,1,"$1,329","$1,329",$0,0.0,"$15,948",15948,Standard Accounts
Santos Logistics,"Lisaburgh, NH, US",Broadline,$25mm - $50mm,$75k - $100k,2,"$7,830","$7,830",$0,0.0,"$93,960",93960,Standard Accounts
Christian Foods,"South Ricardomouth, MN, US",Specialty,$25mm - $50mm,$100k - $250k,1,"$8,411","$8,411",$0,0.0,"$100,932",100932,Key Accounts
Stewart Foods,"North Robert, SC, US",Bakery,$10mm - $25mm,$10k - $25k,2,"$1,403","$1,403",$0,0.0,"$16,836",16836,Standard Accounts
Jones Foods,"Alexanderland, MO, US",Broadline,$100mm - $250mm,$100k - $250k,2,"$13,860","$13,860",$0,0.0,"$166,320",166320,Key Accounts
Welch Distribution,"Dianatown, CT, US",Ice Cream,$100mm - $250mm,$100k - $250k,3,"$10,201","$10,201",$0,0.0,"$122,412",122412,Key Accounts
Thomas Logistics,"Port Christopherport, HI, US",Coffee,< $10mm,$25k - $50k,2,"$2,640","$2,640",$0,0.0,"$31,680",31680,Standard Accounts
Jackson Logistics,"Moranstad, MD, US",Jan-San,$25mm - $50mm,$100k - $250k,1,"$8,433","$8,433",$0,0.0,"$101,196",101196,Key Accounts
Harvey Supply Co.,"Jacquelineton, NY, US",Broadline,$25mm - $50mm,$25k - $50k,1,"$4,065","$4,065",$0,0.0,"$48,780",48780,Standard Accounts
Durham Foods,"Rodriguezborough, FL, US",Jan-San,$25mm - $50mm,$50 - $75k,3,"$6,131","$6,131",$0,0.0,"$73,572",73572,Standard Accounts
King Supply Co.,"Danielchester, MI, US",Broadline,$50mm - $100mm,$75k - $100k,2,"$6,417","$6,417",$0,0.0,"$77,004",77004,Standard Accounts
Knight Logistics,"Jamesside, MT, US",Ice Cream,$10mm - $25mm,$25k - $50k,2,"$2,462","$2,462",$0,0.0,"$29,544",29544,Standard Accounts
Le Foods,"Candiceport, NC, US",Broadline,$10mm - $25mm,$75k - $100k,3,"$6,844","$6,844",$0,0.0,"$82,128",82128,Standard Accounts
Fuller Enterprises,"East Abigail, MS, US",Ice Cream,$50mm - $100mm,$25k - $50k,2,"$2,630","$2,630",$0,0.0,"$31,560",31560,Standard Accounts
Oconnor Enterprises,"Lake Michaelbury, BC, Canada",Jan-San,$50mm - $100mm,$100k - $250k,2,"$11,042","$11,042",$0,0.0,"$132,504",132504,Key Accounts
Thompson Logistics,"New Lynnstad, MN, US",Bakery,$25mm - $50mm,$75k - $100k,2,"$8,047","$8,047",$0,0.0,"$96,564",96564,Standard Accounts
Anderson Foods,"Tuckerport, NH, US",Seafood,$25mm - $50mm,$100k - $250k,1,"$8,648","$8,648",$0,0.0,"$103,776",103776,Key Accounts
Ryan Enterprises,"West Willie, NH, US",Broadline,$50mm - $100mm,$50 - $75k,1,"$4,834","$4,834",$0,0.0,"$58,008",58008,Standard Accounts
Mcintyre Supply Co.,"Houstonborough, MI, US",Specialty,$100mm - $250mm,$100k - $250k,1,"$9,378","$9,378",$0,0.0,"$112,536",112536,Key Accounts
Summers Enterprises,"Benjaminland, OK, US",Broadline,< $10mm,$25k - $50k,2,"$2,811","$2,811",$0,0.0,"$33,732",33732,Standard Accounts
Mccarty Foods,"Lake Melaniestad, WV, US",Broadline,$25mm - $50mm,$25k - $50k,2,"$2,163","$2,163",$0,0.0,"$25,956",25956,Standard Accounts
Ballard Foods,"Ericastad, MA, US",Specialty,$50mm - $100mm,$50 - $75k,1,"$4,666","$4,666",$0,0.0,"$55,992",55992,Standard Accounts
Gibbs Supply Co.,"North Adamfurt, NY, US",Produce,$250mm - $500mm,$75k - $100k,3,"$6,866","$6,866",$0,0.0,"$82,392",82392,Standard Accounts
Smith Logistics,"West Jasonstad, SD, US",Seafood,$50mm - $100mm,$100k - $250k,3,"$10,074","$10,074",$0,0.0,"$120,888",120888,Key Accounts
Chambers Enterprises,"Jamesburgh, MN, US",C-Store,$100mm - $250mm,$100k - $250k,1,"$8,782","$8,782",$0,0.0,"$105,384",105384,Key Accounts
Carson Foods,"Emilyview, MD, US",Broadline,$100mm - $250mm,$100k - $250k,1,"$11,534","$11,534",$0,0.0,"$138,408",138408,Key Accounts
Walker Enterprises,"Lake Jodi, ID, US",Jan-San,< $10mm,$25k - $50k,4,"$2,100","$2,100",$0,0.0,"$25,200",25200,Standard Accounts
Colon Distribution,"Lake Jessica, TN, US",C-Store,$10mm - $25mm,$25k - $50k,1,"$3,063","$3,063",$0,0.0,"$36,756",36756,Standard Accounts
Turner Enterprises,"Tonyville, NY, US",Broadline,$10mm - $25mm,$75k - $100k,1,"$6,448","$6,448",$0,0.0,"$77,376",77376,Standard Accounts
Paul Enterprises,"Port Tamara, WI, US",Meat,< $10mm,$25k - $50k,3,"$2,252","$2,252",$0,0.0,"$27,024",27024,Standard Accounts
Bautista Logistics,"Port Willie, AZ, US",Jan-San,$50mm - $100mm,$100k - $250k,1,"$9,337","$9,337",$0,0.0,"$112,044",112044,Key Accounts
Moore Distribution,"Billyfort, WV, US",C-Store,$50mm - $100mm,$50 - $75k,3,"$4,460","$4,460",$0,0.0,"$53,520",53520,Standard Accounts
Wood Supply Co.,"South Desiree, IN, US",Specialty,$500mm - $1bn,$100k - $250k,1,"$18,803","$18,803",$0,0.0,"$225,636",225636,Key Accounts
Rivas Supply Co.,"Lucasland, UT, US",Broadline,$25mm - $50mm,$75k - $100k,1,"$7,325","$7,329",$4,0.0005,"$87,900",87948,Standard Accounts
Smith Enterprises,"Thomasview, KS, US",Bakery,$10mm - $25mm,$25k - $50k,1,"$2,279","$2,281",$2,0.0009,"$27,348",27372,Standard Accounts
Fields Logistics,"Davidshire, NS, Canada",Produce,$250mm - $500mm,$100k - $250k,2,"$11,652","$11,667",$15,0.0013,"$139,824",140004,Key Accounts
Gray Foods,"Thompsonfurt, OR, US",Produce,$50mm - $100mm,$100k - $250k,4,"$10,693","$10,713",$20,0.0019,"$128,316",128556,Key Accounts
Richards Foods,"Thomasfurt, IA, US",Produce,< $10mm,$10k - $25k,1,$906,$908,$2,0.0022,"$10,872",10896,Standard Accounts
Cochran Distribution,"Millerside, NB, Canada",Produce,$25mm - $50mm,$75k - $100k,2,"$6,652","$6,668",$16,0.0024,"$79,824",80016,Standard Accounts
Sandoval Enterprises,"Maxview, WI, US",C-Store,$100mm - $250mm,$50 - $75k,1,"$6,028","$6,046",$18,0.003,"$72,336",72552,Standard Accounts
Gill Foods,"North Jennifer, TN, US",Produce,$50mm - $100mm,$10k - $25k,1,"$1,759","$1,765",$6,0.0034000000000000002,"$21,108",21180,Standard Accounts
Hall Foods,"Michaelton, PA, US",Broadline,$100mm - $250mm,$25k - $50k,3,"$3,720","$3,738",$18,0.0048,"$44,640",44856,Standard Accounts
Powell Supply Co.,"Reidville, AL, US",Jan-San,< $10mm,$10k - $25k,1,$990,$995,$5,0.0051,"$11,880",11940,Standard Accounts
Clark Supply Co.,"South Donaldland, MT, US",Coffee,$50mm - $100mm,$100k - $250k,1,"$9,430","$9,482",$52,0.0055000000000000005,"$113,160",113784,Key Accounts
Elliott Logistics,"Lake Regina, SK, Canada",Bakery,$50mm - $100mm,$10k - $25k,1,"$1,945","$1,958",$13,0.0067,"$23,340",23496,Standard Accounts
Barrett Distribution,"West Frances, MO, US",Jan-San,< $10mm,$25k - $50k,1,"$2,693","$2,711",$18,0.0067,"$32,316",32532,Standard Accounts
